time_s,state,phase,radial_expansion,radial_expansion_median,radial_std,radial_p95,outward_frac,inward_frac,pt_displacement_mean,pt_displacement_median,pt_displacement_std,pt_displacement_max,point_count,point_density,feature_radius_mean,feature_radius_std,flow_magnitude,flow_dir_hist_0,flow_dir_hist_1,flow_dir_hist_2,flow_dir_hist_3,flow_dir_hist_4,flow_dir_hist_5,flow_dir_hist_6,flow_dir_hist_7,foe_x,foe_y,flow_median,flow_p95,flow_std,flow_max,div_mean,div_median,div_std,div_p95,div_pos_frac,div_max,grid_flow_00,grid_flow_01,grid_flow_02,grid_flow_10,grid_flow_11,grid_flow_12,grid_flow_20,grid_flow_21,grid_flow_22,cam_rotation,cam_scale,cam_tx,cam_ty,residual_flow_mean,residual_flow_p95,residual_div,hom_scale,hom_rotation,hom_tx,hom_ty,hom_persp_x,hom_persp_y,hom_ok,edge_density,texture_var,grad_magnitude_mean,sharpness,sky_fraction,ground_fraction,horizon_angle,horizon_pos,horizon_conf,expansion_rate,expansion_acceleration
0.0000,STABLE,STABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,330.0000,0.0010,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0330,2170.0202,38.9472,333.5117,0.5116,0.5221,-36.9137,0.6354,0.6042,-7.5760,105.1433
0.0333,STABLE,STABLE,-0.3056,-0.0752,0.7787,0.6709,0.3587,0.6413,0.7873,0.6156,0.7244,4.3551,500.0000,0.0014,199.9660,94.9138,0.7873,0.1854,0.0304,0.0304,0.0638,0.0608,0.0426,0.0608,0.5258,324.9384,252.0657,0.8853,1.9387,0.6878,4.5834,-0.0014,-0.0004,0.0630,0.0795,0.4750,1.4562,1.6666,1.1057,1.2595,1.3453,0.6003,0.8027,0.8129,0.0732,0.5677,-0.0516,0.9991,1.1995,-0.0994,0.6494,1.2268,0.0003,0.9975,-0.0492,2.6719,0.0053,-0.0000,-0.0000,1.0000,0.0321,2163.4644,37.1330,303.6351,0.4872,0.5170,-38.1449,0.6438,0.6025,-4.0712,98.8244
0.0667,STABLE,ASCEND,-0.1854,-0.0039,0.5874,0.7226,0.4480,0.5520,0.5872,0.4897,0.5005,3.7521,500.0000,0.0014,211.2103,94.9319,0.5872,0.3940,0.1760,0.0560,0.0480,0.0320,0.0300,0.0440,0.2200,314.6595,243.5890,0.4679,1.3350,0.4488,4.1058,-0.0010,-0.0001,0.0513,0.0679,0.4801,1.1805,1.1066,0.6807,0.8618,0.7142,0.3512,0.5074,0.3729,0.0386,0.2304,-0.0225,0.9995,0.6913,0.1086,0.5112,1.0326,-0.0007,0.9977,-0.0471,1.6912,0.4237,-0.0000,-0.0000,1.0000,0.0322,2162.7982,37.0790,305.5752,0.4760,0.5090,-57.0190,0.3958,0.5180,-0.9877,86.1865
0.1000,STABLE,ASCEND,0.0035,0.0000,0.0914,0.1170,0.4340,0.4180,0.0503,0.0009,0.1141,1.2078,500.0000,0.0014,210.2242,95.6007,0.0503,0.2260,0.1040,0.1280,0.1240,0.0800,0.0840,0.1380,0.1160,304.0628,244.8360,0.0018,0.3126,0.1214,2.2396,-0.0000,0.0000,0.0189,0.0240,0.5085,0.4099,0.0262,0.0065,0.0892,0.1248,0.0344,0.1419,0.0624,0.0086,0.0827,0.0002,1.0000,-0.0006,-0.0069,0.0550,0.2757,0.0000,1.0000,0.0006,-0.0130,-0.0009,0.0000,-0.0000,1.0000,0.0323,2162.3599,37.0629,304.7326,0.4809,0.5092,-32.9416,0.7229,0.5398,1.6745,73.5486
0.1333,STABLE,ASCEND,0.0181,-0.0053,0.6090,1.2020,0.4460,0.5540,0.6046,0.5581,0.4619,2.6288,500.0000,0.0014,210.1220,95.6846,0.6046,0.0480,0.1080,0.4000,0.3120,0.0540,0.0240,0.0280,0.0260,302.4871,244.8041,0.4890,1.3159,0.4138,3.0525,-0.0002,0.0000,0.0501,0.0683,0.5017,0.7866,0.6538,0.5352,0.6632,0.8170,0.3697,0.4946,0.7783,0.0399,0.3710,0.0048,1.0000,-0.3332,0.4135,0.4880,1.0384,-0.0015,1.0005,-0.0112,-0.4754,0.7739,0.0000,-0.0000,1.0000,0.0319,2166.5797,37.0206,303.2740,0.4884,0.5049,-36.0879,0.6542,0.6435,3.9155,60.9107
0.1667,ASCEND,ASCEND,0.1800,0.0287,0.7114,1.3683,0.5895,0.4004,0.7714,0.6561,0.6226,2.5785,500.0000,0.0014,210.3957,95.2294,0.7714,0.0443,0.0563,0.0423,0.5895,0.1610,0.0402,0.0362,0.0302,302.9463,237.7003,0.7363,1.6270,0.5721,3.6790,0.0010,0.0000,0.0568,0.0760,0.5167,1.0100,1.3458,0.8610,1.0087,1.0406,0.4875,0.7523,0.7030,0.0352,0.4748,0.0481,1.0005,-1.0352,0.2978,0.5991,1.0611,0.0004,1.0022,0.0079,-2.2047,0.3942,0.0000,0.0000,1.0000,0.0322,2165.7760,37.0553,298.2137,0.4830,0.5052,-30.9638,0.7125,0.5121,5.7352,48.2728
0.2000,ASCEND,ASCEND,0.3173,0.0660,0.6858,1.4892,0.6400,0.3600,0.7118,0.6159,0.5754,2.0599,500.0000,0.0014,213.5584,94.2356,0.7118,0.0280,0.0400,0.0380,0.3420,0.4260,0.0480,0.0460,0.0320,328.6011,233.3038,0.6779,1.5336,0.5280,2.2170,0.0010,0.0001,0.0512,0.0757,0.5108,0.7175,1.2494,0.7973,0.8818,1.0289,0.4464,0.6422,0.6625,0.0602,0.5261,0.0381,1.0010,-1.0927,-0.0892,0.5223,0.9554,0.0001,1.0033,0.0380,-2.1399,-0.3825,0.0000,0.0000,1.0000,0.0319,2161.9946,36.8594,299.0469,0.4778,0.5116,-45.0000,0.5542,0.6603,7.1337,35.6349
0.2333,ASCEND,ASCEND,0.3748,0.0506,0.7191,1.4926,0.6060,0.3940,0.7405,0.6936,0.5814,2.4607,500.0000,0.0014,215.6770,94.4545,0.7405,0.0160,0.0200,0.0280,0.3080,0.5060,0.0580,0.0360,0.0280,337.9143,229.6016,0.6522,1.5293,0.5350,2.4663,0.0009,0.0000,0.0454,0.0650,0.5112,0.7577,1.1245,0.6808,0.7170,1.1249,0.5102,0.6168,0.8601,0.0376,0.5256,0.0242,1.0011,-1.1490,-0.1959,0.4850,0.9116,-0.0002,1.0043,0.0660,-2.3845,-0.6201,0.0000,0.0000,1.0000,0.0326,2160.2817,37.6167,316.9626,0.4738,0.5133,-34.9731,0.6750,0.5726,8.1109,31.2668
0.2667,ASCEND,ASCEND,0.7586,0.0180,2.2529,4.2486,0.5433,0.4567,2.2785,2.1477,1.7127,5.3493,500.0000,0.0014,213.1254,93.8386,2.2785,0.0080,0.0221,0.0262,0.4930,0.3360,0.0684,0.0241,0.0221,322.2253,229.9512,1.9545,4.2952,1.5734,5.8995,0.0031,0.0003,0.1146,0.1639,0.5291,1.4633,3.8076,2.2559,2.8227,3.1735,1.3431,1.8702,2.0234,0.1050,1.2253,0.0962,1.0017,-3.0823,0.1950,1.6079,2.4922,0.0019,1.0097,0.2311,-7.0200,-0.9308,0.0000,-0.0000,1.0000,0.0313,2147.3534,36.3414,291.0832,0.4832,0.5047,-24.0472,0.7125,0.6353,9.2182,21.6313
0.3000,ASCEND,ASCEND,0.1519,0.0094,0.4877,1.0449,0.5580,0.4420,0.5399,0.4574,0.4465,3.4819,500.0000,0.0014,211.8961,94.1731,0.5399,0.0180,0.0280,0.0280,0.1100,0.2640,0.3940,0.0820,0.0760,308.8452,233.1356,0.4516,1.1734,0.4059,3.6353,0.0008,0.0000,0.0509,0.0703,0.5058,0.9583,0.8982,0.5654,0.6471,0.6979,0.4063,0.4248,0.4489,0.0397,0.2464,-0.0041,1.0005,-0.3943,-0.4509,0.4462,1.0822,0.0004,1.0018,0.0698,-0.9822,-0.8815,0.0000,0.0000,1.0000,0.0318,2146.0333,36.4965,293.0581,0.4783,0.5105,-35.9229,0.6833,0.5594,9.5530,-4.0753
