time_s,state,phase,radial_expansion,radial_expansion_median,radial_std,radial_p95,outward_frac,inward_frac,pt_displacement_mean,pt_displacement_median,pt_displacement_std,pt_displacement_max,point_count,point_density,feature_radius_mean,feature_radius_std,flow_magnitude,flow_dir_hist_0,flow_dir_hist_1,flow_dir_hist_2,flow_dir_hist_3,flow_dir_hist_4,flow_dir_hist_5,flow_dir_hist_6,flow_dir_hist_7,foe_x,foe_y,flow_median,flow_p95,flow_std,flow_max,div_mean,div_median,div_std,div_p95,div_pos_frac,div_max,grid_flow_00,grid_flow_01,grid_flow_02,grid_flow_10,grid_flow_11,grid_flow_12,grid_flow_20,grid_flow_21,grid_flow_22,cam_rotation,cam_scale,cam_tx,cam_ty,residual_flow_mean,residual_flow_p95,residual_div,hom_scale,hom_rotation,hom_tx,hom_ty,hom_persp_x,hom_persp_y,hom_ok,edge_density,texture_var,grad_magnitude_mean,sharpness,sky_fraction,ground_fraction,horizon_angle,horizon_pos,horizon_conf,expansion_rate,expansion_acceleration
0.0000,STABLE,STABLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,67.0000,0.0004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0223,1161.8437,26.3959,1130.2012,0.9747,0.0030,2.4110,0.3167,0.3169,0.0000,0.0000
0.0417,STABLE,STABLE,nan,nan,nan,nan,nan,nan,0.0006,0.0000,0.0034,0.0270,67.0000,0.0004,nan,nan,0.0006,0.6269,0.0896,0.0448,0.0149,0.0448,0.0746,0.0299,0.0746,nan,nan,0.0000,0.0000,0.0037,0.2748,0.0000,0.0000,0.0010,0.0000,0.5023,0.0715,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0017,0.0000,-0.0001,1.0000,-0.0016,-0.0016,0.0012,0.0018,nan,0.9999,-0.0011,0.0131,0.0062,-0.0000,-0.0000,1.0000,0.0223,1161.7827,26.3948,1130.6908,0.9687,0.0061,2.4110,0.3167,0.3169,0.0000,0.0000
0.0834,STABLE,STABLE,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0000,67.0000,0.0004,nan,nan,0.0000,0.9701,0.0000,0.0149,0.0000,0.0000,0.0000,0.0149,0.0000,nan,nan,0.0000,0.0000,0.0001,0.0203,0.0000,0.0000,0.0001,0.0000,0.5121,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0.0000,-0.0000,0.0000,0.0000,nan,1.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,1.0000,0.0223,1161.7805,26.3947,1130.6971,0.9687,0.0061,2.4110,0.3167,0.3169,0.0000,0.0000
0.1251,STABLE,STABLE,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0000,67.0000,0.0004,nan,nan,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan,nan,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.4667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,nan,1.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,1.0000,0.0223,1161.7805,26.3947,1130.6971,0.9687,0.0061,2.4110,0.3167,0.3169,0.0000,0.0000
0.1668,STABLE,STABLE,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0000,67.0000,0.0004,nan,nan,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan,nan,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.4667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,nan,1.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,1.0000,0.0223,1161.7805,26.3947,1130.6971,0.9687,0.0061,2.4110,0.3167,0.3169,0.0000,0.0000
0.2085,STABLE,STABLE,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0000,67.0000,0.0004,nan,nan,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan,nan,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.4667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,nan,1.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,1.0000,0.0223,1161.7805,26.3947,1130.6971,0.9687,0.0061,2.4110,0.3167,0.3169,0.0000,0.0000
0.2502,STABLE,STABLE,nan,nan,nan,nan,nan,nan,0.0001,0.0000,0.0001,0.0006,68.0000,0.0004,nan,nan,0.0001,0.7015,0.0299,0.0597,0.0448,0.0448,0.0597,0.0149,0.0448,nan,nan,0.0000,0.0000,0.0006,0.0449,0.0000,0.0000,0.0003,0.0000,0.5250,0.0179,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000,-0.0000,1.0000,0.0000,-0.0000,0.0001,0.0003,nan,1.0000,-0.0000,0.0004,0.0003,-0.0000,-0.0000,1.0000,0.0223,1161.7732,26.3951,1130.7487,0.9687,0.0061,2.4110,0.3167,0.3169,0.0000,0.0000
0.2920,STABLE,STABLE,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0001,68.0000,0.0004,nan,nan,0.0000,0.8824,0.0147,0.0147,0.0147,0.0000,0.0147,0.0147,0.0441,nan,nan,0.0000,0.0000,0.0003,0.0266,0.0000,0.0000,0.0002,0.0000,0.5050,0.0102,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0.0000,-0.0000,0.0000,0.0001,nan,1.0000,0.0000,0.0000,-0.0001,0.0000,0.0000,1.0000,0.0223,1161.7778,26.3955,1130.7360,0.9684,0.0064,2.4110,0.3167,0.3169,0.0000,0.0000
0.3337,STABLE,STABLE,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0000,68.0000,0.0004,nan,nan,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan,nan,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.4663,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,nan,1.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,1.0000,0.0223,1161.7778,26.3955,1130.7360,0.9684,0.0064,2.4110,0.3167,0.3169,0.0000,0.0000
0.3754,STABLE,STABLE,nan,nan,nan,nan,nan,nan,0.0000,0.0000,0.0000,0.0000,68.0000,0.0004,nan,nan,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,nan,nan,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.4663,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,nan,1.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,1.0000,0.0223,1161.7778,26.3955,1130.7360,0.9684,0.0064,2.4110,0.3167,0.3169,0.0000,0.0000
